source,sink,probability
540762,3086365,0
540762,2492020,1
2129843,2797643,0
2129843,3414168,1
3361377,3460358,0
3361377,3592534,1
1199298,4841289,0
1199298,3271484,1
1392121,4860155,0
1392121,1833244,1
4762204,656949,0
4762204,840210,1
1840280,2746923,0
1840280,752551,1
2673351,75625,0
2673351,1532282,1
2672578,1617453,0
2672578,2973719,1
400117,2715143,0
400117,687204,1
506428,4039005,0
506428,3666397,1
581535,4612861,0
581535,2652788,1
1169783,1854311,0
1169783,4576493,1
4174165,991205,0
4174165,2741570,1
3142255,3976135,0
3142255,2314284,1
892512,4804751,0
892512,3201612,1
289918,669247,0
289918,1081924,1
1927780,1311849,0
1927780,3224874,1
3670190,2665697,0
3670190,4435044,1
641925,4401818,0
641925,4602106,1
299865,2582191,0
299865,261549,1
151344,1061111,0
151344,2334558,1
2881471,1842342,0
2881471,3339556,1
4241326,4563449,0
4241326,3007111,1
4582129,3591214,0
4582129,443165,1
1594907,2084669,0
1594907,165870,1
3316576,1890468,0
3316576,963009,1
746711,4819462,0
746711,2686897,1
977117,1031909,0
977117,1525873,1
3056533,62849,0
3056533,2999451,1
1241159,4651997,0
1241159,2436617,1
2299939,3834275,0
2299939,2437433,1
3133671,3229254,0
3133671,1325277,1
2757277,3533405,0
2757277,3003067,1
851113,2950138,0
851113,4027460,1
3314815,1389943,0
3314815,3897644,1
3712732,3361133,0
3712732,2999451,1
2492020,2522598,0
2492020,4027460,1
141083,725280,0
141083,789586,1
2173241,4689998,0
2173241,4841653,1
69174,2385844,0
69174,3133671,1
1462439,13636,0
1462439,2955921,1
1737397,3631730,0
1737397,2039901,1
611426,456916,0
611426,4231154,1
3541155,2945852,0
3541155,3148680,1
2989624,2733788,0
2989624,3291214,1
661185,4272220,0
661185,2345693,1
2335027,3070833,0
2335027,1322025,1
3575966,2854820,0
3575966,540762,1
3586135,3598493,0
3586135,1853195,1
3011333,2244528,0
3011333,289918,1
4575690,2547685,0
4575690,297308,1
343833,1716267,0
343833,2336530,1
2862019,3866854,0
2862019,4208653,1
4467395,1893150,0
4467395,3238142,1
1436562,1678835,0
1436562,2494800,1
3349332,1554255,0
3349332,3575966,1
2183328,4867053,0
2183328,2437017,1
3521384,2069765,0
3521384,4508636,1
3766535,529039,0
3766535,3486920,1
3662772,2648912,0
3662772,4283132,1
2329535,3360069,0
2329535,3794083,1
4366854,645263,0
4366854,3914135,1
3704614,2637321,0
3704614,3562621,1
94742,3434281,0
94742,2672578,1
3886121,688210,0
3886121,2519887,1
1719625,2462196,0
1719625,881496,1
557514,4865391,0
557514,689195,1
2163471,2726539,0
2163471,207672,1
2770509,852330,0
2770509,60980,1
1274046,1143152,0
1274046,3755030,1
261881,985907,0
261881,182163,1
3091331,125516,0
3091331,729437,1
3532986,600451,0
3532986,1087655,1
4208653,357300,0
4208653,1683332,1
3367669,4719231,0
